Demo
net.optimized_memory = 0 
mini_batch = 1, batch = 16, time_steps = 1, train = 0 

 seen 64, trained: 864 K-images (13 Kilo-batches_64) 
video file: in/GH010013.MP4
Video stream: 1920 x 1440 
Objects:


FPS:0.0 	 AVG_FPS:0.0
Objects:

Over Ripe: 99% 	(left_x:  867   top_y:  174   width:   52   height:   46)
Perfect Pink: 100% 	(left_x:  562   top_y:  267   width:   40   height:   39)
Perfect Pink: 100% 	(left_x:  387   top_y:  685   width:   31   height:   28)
Perfect Pink: 100% 	(left_x:  416   top_y:  209   width:   39   height:   32)
Light Pink: 100% 	(left_x:  737   top_y:  104   width:   47   height:   49)
Light Pink: 100% 	(left_x: 1808   top_y:  492   width:   45   height:   40)
Light Pink: 100% 	(left_x: 1566   top_y:  128   width:   56   height:   49)
Light Pink: 100% 	(left_x:   42   top_y: 1032   width:   33   height:   32)
Light Pink: 100% 	(left_x:  602   top_y:  701   width:   27   height:   26)
Light Pink: 99% 	(left_x:  742   top_y:  171   width:   41   height:   52)
Light Pink: 99% 	(left_x:  590   top_y:  675   width:   28   height:   29)
Light Pink: 98% 	(left_x:  149   top_y:  147   width:   66   height:   51)
Light Pink: 97% 	(left_x:   10   top_y:  995   width:   41   height:   31)
Light Pink: 91% 	(left_x:  622   top_y:  686   width:   22   height:   24)
Green: 100% 	(left_x: 1672   top_y:  332   width:   27   height:   26)
Green: 100% 	(left_x: 1409   top_y:  157   width:   38   height:   32)
Green: 100% 	(left_x: 1740   top_y:  240   width:   34   height:   29)
Green: 100% 	(left_x:  341   top_y:  690   width:   32   height:   32)
Green: 100% 	(left_x: 1361   top_y:  174   width:   30   height:   32)
Green: 100% 	(left_x: 1344   top_y:  210   width:   24   height:   29)
Green: 100% 	(left_x: 1297   top_y:  189   width:   32   height:   34)
Green: 100% 	(left_x:  158   top_y:  119   width:   33   height:   32)
Green: 99% 	(left_x: 1311   top_y:  111   width:   26   height:   27)
